000000F 461 514 LINE/L2
000000F 1611 1744 SINE/MIR
000000F 2571 3600 LINE/L1
000000F 3627 5166 LINE/L1
000000F 5167 5798 LINE/L1
000000F 5799 5827 LINE/L1
000000F 5909 6032 LTR/ERVL-MaLR
000000F 6146 6191 Low_complexity
000000F 6290 6526 DNA/hAT-Charlie
000000F 8822 9013 LTR/ERVL-MaLR
000000F 10450 10671 SINE/MIR
000000F 10690 10712 Simple_repeat
000000F 12070 12263 LTR/ERVL-MaLR
000000F 12349 12490 LTR/ERVL-MaLR
000000F 12536 12989 LTR/ERVL-MaLR
000000F 13175 13270 LINE/L2
000000F 14138 14252 SINE/MIR
000000F 14254 14365 LINE/L2
000000F 14417 14956 LTR/ERVL
000000F 15652 15767 LTR/ERVL-MaLR
000000F 17327 17836 LINE/L2
000000F 18487 18510 Simple_repeat
000000F 18938 19223 LINE/L1
000000F 19229 19955 LTR/ERVL
000000F 20207 20255 Simple_repeat
000000F 21473 21548 SINE/MIR
000000F 21541 21929 LINE/L2
000000F 21944 21997 Simple_repeat
000000F 21998 22016 Simple_repeat
000000F 22094 22463 LINE/L2
000000F 22473 22800 LINE/L2
000000F 25455 25588 LINE/L2
000000F 26194 26240 LINE/L2
000000F 26282 26495 DNA/hAT-Charlie
000000F 26610 26784 SINE/MIR
000000F 26785 27182 LTR/ERVL-MaLR
000000F 27183 27197 SINE/MIR
000000F 27647 28184 LINE/L1
000000F 28821 28895 SINE/MIR
000000F 30411 30460 Low_complexity
000000F 31900 32093 SINE/MIR
000000F 32273 32389 LINE/L1
000000F 32540 32745 LINE/L1
000000F 33075 33308 LINE/L1
000000F 33839 34082 LINE/L2
000000F 34096 34167 LINE/L2
000000F 34267 34331 LINE/L2
000000F 34792 34987 SINE/MIR
000000F 35675 35736 Simple_repeat
000000F 35705 35742 Simple_repeat
000000F 36431 36482 Low_complexity
000000F 37061 37097 Simple_repeat
000000F 37491 37539 Simple_repeat
000000F 38442 38538 SINE/tRNA-Core-RTE
000000F 38539 38634 SINE/MIR
000000F 38637 38673 Simple_repeat
000000F 39970 40058 SINE/MIR
000000F 40059 40146 DNA/hAT-Blackjack
000000F 40194 40327 SINE/MIR
000000F 40585 40766 SINE/MIR
000000F 41209 41588 LINE/L1
000000F 41757 41997 SINE/MIR
000000F 42950 43323 LINE/L1
000000F 43335 43456 SINE/MIR
000000F 45295 45539 LINE/L1
000000F 45613 45688 LINE/L2
000000F 48358 48466 DNA/hAT-Charlie
000000F 48668 48713 SINE/MIR
000000F 49246 49667 LTR/ERV1
000000F 50268 50380 DNA/hAT-Charlie
000000F 50775 50900 DNA/hAT-Charlie
000000F 52037 52292 LINE/L2
000000F 52415 52565 LINE/L2
000000F 54434 54719 LTR/ERV1
000000F 56350 56517 SINE/MIR
000000F 56597 56730 SINE/MIR
000000F 57107 57324 SINE/MIR
000000F 59799 59889 LINE/L1
000000F 60396 60915 LTR/ERVL-MaLR
000000F 61222 61266 SINE/MIR
000000F 61267 61443 DNA/hAT-Charlie
000000F 61444 61569 SINE/MIR
000000F 61928 62016 SINE/MIR
000000F 62841 63278 LTR/ERV1
000000F 63387 63730 LTR/ERVL-MaLR
000000F 63759 63862 SINE/MIR
000000F 63879 64584 LINE/L1
000000F 64604 64633 Simple_repeat
000000F 64980 65016 Simple_repeat
000000F 65016 65125 Simple_repeat
000000F 65128 65364 LTR/ERVK
000000F 65365 65420 Simple_repeat
000000F 66054 66366 DNA/TcMar-Tigger
000000F 66784 67835 LINE/L1
000000F 67837 67935 DNA/TcMar-Tigger
000000F 68100 68800 LINE/L1
000000F 69573 69701 SINE/MIR
000000F 70982 71370 LINE/L1
000000F 71374 71869 LINE/L1
000000F 72690 73155 LINE/L1
000000F 73156 73279 Satellite
000000F 73280 73778 LINE/L1
000000F 73783 74116 LINE/L1
000000F 75033 75197 LINE/L1
000000F 75351 75554 SINE/5S
000000F 76915 76996 SINE/MIR
000000F 77265 77334 DNA/TcMar-Mariner
000000F 77382 77511 SINE/MIR
000000F 78274 78298 Simple_repeat
000000F 78802 78850 LINE/L2
000000F 82486 82531 Simple_repeat
000000F 83263 83402 LINE/L1
000000F 84517 84627 LINE/L2
000000F 84700 84723 Simple_repeat
000000F 84931 85149 LTR/ERVL-MaLR
000000F 85321 85352 Simple_repeat
000000F 85471 85581 LINE/L1
000000F 85687 85763 SINE/MIR
000000F 85964 86528 LTR/ERV1
000000F 86957 86997 Simple_repeat
000000F 87218 87235 Simple_repeat
000000F 87459 87501 Simple_repeat
000000F 87745 92014 LTR/ERV1
000000F 92234 92280 Low_complexity
000000F 92288 93250 LTR/ERV1
000000F 93324 93516 LTR/ERV1
000000F 93521 94178 LTR/ERV1
000000F 94497 94553 Low_complexity
000000F 95601 95688 LINE/L2
000000F 95900 96107 DNA/hAT-Charlie
000000F 97057 97536 LTR/ERV1
000000F 98028 98068 Low_complexity
000000F 98316 98860 LINE/L1
000000F 98863 99095 LINE/L1
000000F 99151 99881 LINE/L1
000000F 99861 100012 LINE/L1
000000F 101089 101322 LTR/ERVL-MaLR
000000F 102645 102816 DNA/TcMar-Tigger
